773  [main] DEBUG o.s.b.f.s.DefaultListableBeanFactory -- Creating shared instance of singleton bean 'washerUser'
773  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Creating instance of bean 'washerUser'
773  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Returning cached instance of singleton bean 'washerConfig'
774  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Returning cached instance of singleton bean 'lWasher'
774  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Eagerly caching bean 'washerUser' to allow for resolving potential circular references
774  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Finished creating instance of bean 'washerUser'
777  [main] TRACE o.s.c.e.EventListenerMethodProcessor -- No @EventListener annotations found on bean class: com.ssafy.live.washer.bean.WasherConfig$$SpringCGLIB$$0
777  [main] TRACE o.s.c.e.EventListenerMethodProcessor -- No @EventListener annotations found on bean class: com.ssafy.live.washer.bean.SWasher
778  [main] TRACE o.s.c.e.EventListenerMethodProcessor -- No @EventListener annotations found on bean class: com.ssafy.live.washer.bean.LWasher
778  [main] TRACE o.s.c.e.EventListenerMethodProcessor -- No @EventListener annotations found on bean class: com.ssafy.live.washer.bean.WasherUser
787  [main] TRACE o.s.c.i.s.SpringFactoriesLoader -- Loaded [org.springframework.beans.BeanInfoFactory] names: []
790  [main] TRACE o.s.c.a.AnnotationConfigApplicationContext -- No 'lifecycleProcessor' bean, using [DefaultLifecycleProcessor]
790  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Returning cached instance of singleton bean 'lifecycleProcessor'
793  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Returning cached instance of singleton bean 'washerUser'
793  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Returning cached instance of singleton bean 'sWasher'
794  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Returning cached instance of singleton bean 'lWasher'
483  [main] TRACE o.s.c.a.AnnotationConfigApplicationContext -- Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@be64738, started on Thu Apr 17 09:58:48 KST 2025
505  [main] DEBUG o.s.b.f.s.DefaultListableBeanFactory -- Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
506  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
519  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Eagerly caching bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor' to allow for resolving potential circular references
521  [main] TRACE o.s.b.f.s.DefaultListableBeanFactory -- Finished creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
584  [main] TRACE o.s.c.a.ConfigurationClassBeanDefinitionReader -- Registering bean definition for @Bean method com.ssafy.live.washer.bean.WasherConfig.sWasher()
584  [main] TRACE o.s.c.a.ConfigurationClassBeanDefinitionReader -- Registering bean definition for @Bean method com.ssafy.live.washer.bean.WasherConfig.lWasher()
